"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"188",0.06,"E LOUISIANA AVE","E","5  Major Collector","1    Asphalt",40,4,2,11,6000,3,1.2,1.26,4236
"189",0.08,"N IRVING ST","N","5  Major Collector","1    Asphalt",28,1,2,11,4000,3,0.41,0.49,4222
"190",0.04,"COURT PL","NE","5  Major Collector","1    Asphalt",48,4,3,10,4100,3,0.14,0.18,3598
"191",0.05,"S DAHLIA ST","S","5  Major Collector","1    Asphalt",40,4,2,12,4900,3,0.38,0.43,3580
"192",0.06,"E 11TH AVE","E","5  Major Collector","1    Asphalt",40,4,3,10,6900,1,0.47,0.53,5094
"193",0.08,"W 17TH AVE","W","5  Major Collector","1    Asphalt",28,4,2,12,7100,3,0.08,0.16,3700
"194",0.06,"E MARTIN LUTHER KING BLVD","E","4  Minor Arterial","3    Concrete",68,2.5,6,12,22000,1,1.97,2.03,6413
"195",0.045,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,2600,3,3.99,4.035,2319
"196",0.02,"E YALE AVE","SE","4  Minor Arterial","1    Asphalt",72,4,4,10,14000,1,0.33,0.35,1154
"197",0.1,"MORRISON RD","SW","4  Minor Arterial","1    Asphalt",48,4,2,10,13000,3,0,0.1,2625
"198",0.04,"S WEBSTER ST","S","5  Major Collector","1    Asphalt",36,4,2,10,2800,3,0,0.04,5632
"199",0.08,"S DAYTON ST","S","5  Major Collector","1    Asphalt",40,4,2,12,8500,3,0.16,0.24,3523
"200",0.1,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,4,10,30000,3,2.5,2.6,504
"201",0.11,"E 51ST AVE","SE","5  Major Collector","1    Asphalt",56,4,4,10,6200,3,1.18,1.29,5577
"202",0.05,"W JEWELL AVE","W","5  Major Collector","1    Asphalt",48,1,2,11,6400,1,0.69,0.74,4454
"203",0.03,"LARIMER ST","NE","4  Minor Arterial","1    Asphalt",44,4,3,11,5000,3,0,0.03,785
"204",0.03,"W 35TH AVE","W","5  Major Collector","1    Asphalt",32,4,2,12,630,3,0.93,0.96,3796
"205",0.05,"W 32ND AVE","W","4  Minor Arterial","1    Asphalt",32,2.5,2,12,3000,2,0.1,0.15,6271
"206",0.05,"N ZUNI ST","N","5  Major Collector","1    Asphalt",38,2.5,2,11,4400,3,1.86,1.91,3912
"207",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,10000,3,2,2.03,1572
"208",0.07,"E BUCHTEL BLVD","SE","5  Major Collector","1    Asphalt",30,4,2,11,7000,1,0.5,0.57,4401
"209",0.12,"S QUEBEC ST","S","4  Minor Arterial","1    Asphalt",48,4,4,10,31000,3,0.29,0.41,1833
"210",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,10000,3,1.7,1.73,2461
"211",0.12,"N PERRY ST","N","5  Major Collector","1    Asphalt",32,4,2,10,6400,3,0.13,0.25,5077
"212",0.12,"S DOWNING ST","S","4  Minor Arterial","1    Asphalt",36,4,2,10,16000,3,1.86,1.98,2624
"213",0.06,"W 14TH AVE","W","5  Major Collector","1    Asphalt",32,4,2,10,8400,3,0.73,0.79,4225
"214",0.01,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,12,29000,0,1.09,1.1,309
"215",0.1,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,6,10,38000,2,0.3,0.4,2922
"216",0.02,"N HOLLY ST","N","5  Major Collector","1    Asphalt",40,4,2,10,7100,3,3.34,3.36,4078
"217",0.05,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,4,10,29000,0,0.5,0.55,441
"218",0.15,"GREEN VALLEY RANCH BLVD","SE","4  Minor Arterial","1    Asphalt",36,4,2,11,12000,3,2.935,3.085,2904
