"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","IRI","THRULNQTY","THRULNWD","AADT","AADTDERIV","COUNTSTATI","BUILTYR","RUNLENGTH_","RUNLENGTH1"
"715",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,168,4,10,29000,0,202147,1995,1.6,1.62
"722",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",24,4,102,2,12,20000,4,902075,1995,0.7,0.8
"723",0.08,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,4,348,5,10,26000,1,900085,1995,0.52,0.6
"731",0.01,"PENA BLVD INBOUND","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,46,4,11,115000,4,106558,1995,2.36,2.37
"741",0.04,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,222,4,10,24000,0,201998,1995,2.8,2.84
"751",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,4,339,5,10,31000,0,901639,1995,0.5,0.56
"757",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,226,3,10,31000,3,202028,1995,0.29,0.3
"760",0.1,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",44,4,161,4,10,35000,3,107744,1995,0.1,0.2
"761",0.04,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,322,4,10,29000,0,202147,1995,0.06,0.1
"781",0.03,"20TH ST","NW","3  Principal Arterial - Other","1    Asphalt",36,1,305,4,10,26000,1,106535,1995,0.1,0.13
"784",0.02,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,243,4,10,36000,1,202406,1995,1.1,1.12
"787",0.04,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,395,4,10,53000,4,901106,1995,3.3,3.34
"794",0.06,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,309,2,10,23000,0,202052,1995,0.07,0.13
"796",0.08,"LAWRENCE ST","NE","4  Minor Arterial","1    Asphalt",40,4,144,2,12,1800,0,202121,1995,1.855,1.935
"799",0.1,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",62,2.5,168,4,10,27000,1,107447,1995,1.4,1.5
"803",0.07,"PENA BLVD INBOUND","E","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,124,4,11,129000,3,106561,1995,3.53,3.6
"814",0.01,"W ALAMEDA AVE","W","3  Principal Arterial - Other","1    Asphalt",52,4,138,4,10,28000,1,201938,1995,0.39,0.4
