"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"126",0.04,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,4,10,33000,3,1.14,1.18,691
"127",0.02,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",40,4,4,10,24000,0,2.84,2.86,694
"128",0.03,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,6,10,37000,1,1.07,1.1,705
"129",0.099,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,26000,1,3.6,3.699,707
"130",0.08,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,6,12,32000,3,2.305,2.385,709
"131",0.03,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,4,10,33000,3,0.8,0.83,710
"132",0.02,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,31000,1,0.8,0.82,711
"133",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",24,4,2,12,20000,4,0.6,0.7,712
"134",0.035,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,4,4,12,27000,0,1.2,1.235,734
"135",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,2.5,2,12,19000,2,3.7,3.8,742
"136",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",106,4,6,10,32000,3,0,0.06,743
"137",0.01,"PARK AVE W","N","3  Principal Arterial - Other","1    Asphalt",66,1,4,10,20000,4,1.74,1.75,745
"138",0.096,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,2,10,19000,2,2,2.096,750
"139",0.07,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,4,5,10,31000,0,0.43,0.5,754
"140",0.1,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,40000,1,0,0.1,758
"141",0.03,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,6200,3,5.01,5.04,766
"142",0.02,"W 44TH AVE","W","4  Minor Arterial","1    Asphalt",40,4,2,10,6900,3,1.03,1.05,772
"143",0.01,"20TH ST","NW","4  Minor Arterial","1    Asphalt",62,4,4,9,13000,1,0.33,0.34,780
"144",0.04,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,3,10,23000,3,1.56,1.6,782
"145",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,10000,3,2.03,2.06,783
"146",0.12,"S DOWNING ST","S","4  Minor Arterial","1    Asphalt",32,4,2,10,20000,3,0.48,0.6,784
"147",0.1,"AURARIA PKWY","NE","3  Principal Arterial - Other","1    Asphalt",44,1,3,11,34000,0,0.3,0.4,789
"148",0.04,"W YALE AVE","W","4  Minor Arterial","1    Asphalt",36,1,2,10,9100,3,1.1,1.14,799
"149",0.21,"S MONACO STREET PKWY","S","4  Minor Arterial","1    Asphalt",76,4,4,10,12000,0,2.51,2.72,807
"150",0.06,"E 8TH AVE","E","4  Minor Arterial","1    Asphalt",44,1,2,10,12000,1,1.385,1.445,808
"151",0.06,"W MISSISSIPPI AVE","W","4  Minor Arterial","1    Asphalt",48,4,4,10,13000,3,1.62,1.68,813
"152",0.02,"N YORK ST","N","4  Minor Arterial","1    Asphalt",36,4,2,10,6700,3,3.92,3.94,821
"153",0.02,"W 26TH AVE","W","4  Minor Arterial","1    Asphalt",36,4,2,10,7100,3,1.68,1.7,824
"154",0.01,"LAWRENCE ST","NE","4  Minor Arterial","1    Asphalt",40,4,2,12,1800,0,1.435,1.445,829
"155",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,2,10,2600,3,4.635,4.695,834
"156",0.02,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,3,10,22000,3,2.18,2.2,841
"157",0.04,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",48,4,4,10,10000,1,0.57,0.61,843
"158",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,6200,3,4.47,4.53,849
"159",0.09,"N LOGAN ST","N","4  Minor Arterial","1    Asphalt",34,1,2,10,6800,1,1.95,2.04,865
"160",0.06,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",30,4,2,10,33000,0,2.8,2.86,869
"161",0.05,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,3,11,20000,3,1.35,1.4,879
"162",0.06,"W 26TH AVE","W","4  Minor Arterial","1    Asphalt",36,4,2,10,7100,3,1.76,1.82,885
"163",0.1,"7TH ST","NW","4  Minor Arterial","1    Asphalt",30,4,4,10,12000,1,0.1,0.2,901
"164",0.13,"N TOWER RD","N","4  Minor Arterial","1    Asphalt",24,2.5,4,10,26000,3,2.55,2.68,904
"165",0.06,"E 23RD AVE","E","4  Minor Arterial","1    Asphalt",48,4,3,10,11000,3,2.91,2.97,926
"166",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,2,10,2600,3,5.025,5.055,927
"167",0.01,"W MISSISSIPPI AVE","W","4  Minor Arterial","1    Asphalt",48,1,4,10,13000,3,0.68,0.69,933
"168",0.05,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",44,4,4,10,12000,1,2.84,2.89,937
"169",0.03,"E 8TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,2,10,12000,1,0.615,0.645,947
"170",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,2600,3,4.185,4.215,951
"171",0.02,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,27000,0,0.98,1,954
"172",0.06,"W 38TH AVE","W","4  Minor Arterial","1    Asphalt",68,4,4,10,21000,3,0.54,0.6,955
"173",0.01,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,3,10,23000,3,1.8,1.81,956
"174",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,6900,3,3.78,3.84,957
"175",0.06,"E 6TH AVENUE PKWY","E","4  Minor Arterial","1    Asphalt",140,4,4,10,17000,1,1.58,1.64,960
"176",0.04,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,6200,3,4.01,4.05,963
"177",0.05,"S EMERSON ST","S","4  Minor Arterial","1    Asphalt",32,4,1,12,1900,2,0.27,0.32,968
"178",0.02,"W 44TH AVE","W","4  Minor Arterial","1    Asphalt",40,4,2,10,6900,3,0.79,0.81,969
"179",0.02,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",50,4,4,10,31000,0,0.08,0.1,971
